name, date, cases
Buffalo Federal Detention Facility,29-Apr-2020,49
Buffalo Federal Detention Facility,30-Apr-2020,49
Buffalo Federal Detention Facility,1-May-2020,49
Buffalo Federal Detention Facility,2-May-2020,49
Buffalo Federal Detention Facility,3-May-2020,49
Buffalo Federal Detention Facility,4-May-2020,49
Buffalo Federal Detention Facility,5-May-2020,49
Buffalo Federal Detention Facility,6-May-2020,49
Buffalo Federal Detention Facility,7-May-2020,49
Buffalo Federal Detention Facility,8-May-2020,49
Burnet County Jail,3-Apr-2020,
Burnet County Jail,4-Apr-2020,
Burnet County Jail,7-Apr-2020,
Burnet County Jail,8-Apr-2020,
Burnet County Jail,9-Apr-2020,
Burnet County Jail,10-Apr-2020,
Burnet County Jail,13-Apr-2020,
Burnet County Jail,14-Apr-2020,
Burnet County Jail,15--Apr-2020,
Burnet County Jail,16-Apr-2020,
Burnet County Jail,17-Apr-2020,
Burnet County Jail,20-Apr-2020,
Burnet County Jail,21-Apr-2020,
Burnet County Jail,22-Apr-2020,
Burnet County Jail,23-Apr-2020,
Burnet County Jail,24-Apr-2020,
Burnet County Jail,27-Apr-2020,
Burnet County Jail,28-Apr-2020,
Burnet County Jail,29-Apr-2020,
Burnet County Jail,30-Apr-2020,
Burnet County Jail,1-May-2020,
Burnet County Jail,2-May-2020,
Burnet County Jail,3-May-2020,
Burnet County Jail,4-May-2020,
Burnet County Jail,5-May-2020,
Burnet County Jail,6-May-2020,
Burnet County Jail,7-May-2020,
Burnet County Jail,8-May-2020,
Butler County Correctional Complex,3-Apr-2020,
Butler County Correctional Complex,4-Apr-2020,
Butler County Correctional Complex,7-Apr-2020,
Butler County Correctional Complex,8-Apr-2020,
Butler County Correctional Complex,9-Apr-2020,
Butler County Correctional Complex,10-Apr-2020,
Butler County Correctional Complex,13-Apr-2020,
Butler County Correctional Complex,14-Apr-2020,
Butler County Correctional Complex,15--Apr-2020,
Butler County Correctional Complex,16-Apr-2020,
Butler County Correctional Complex,17-Apr-2020,
Butler County Correctional Complex,20-Apr-2020,
Butler County Correctional Complex,21-Apr-2020,
Butler County Correctional Complex,22-Apr-2020,
Butler County Correctional Complex,23-Apr-2020,
Butler County Correctional Complex,24-Apr-2020,
Butler County Correctional Complex,27-Apr-2020,
Butler County Correctional Complex,28-Apr-2020,
Butler County Correctional Complex,29-Apr-2020,
Butler County Correctional Complex,30-Apr-2020,
Butler County Correctional Complex,1-May-2020,
Butler County Correctional Complex,2-May-2020,
Butler County Correctional Complex,3-May-2020,
Butler County Correctional Complex,4-May-2020,
Butler County Correctional Complex,5-May-2020,
Butler County Correctional Complex,6-May-2020,
Butler County Correctional Complex,7-May-2020,
Butler County Correctional Complex,8-May-2020,
Calhoun County Correctional Center,3-Apr-2020,
Calhoun County Correctional Center,4-Apr-2020,
Calhoun County Correctional Center,7-Apr-2020,
Calhoun County Correctional Center,8-Apr-2020,
Calhoun County Correctional Center,9-Apr-2020,
Calhoun County Correctional Center,10-Apr-2020,
Calhoun County Correctional Center,13-Apr-2020,
Calhoun County Correctional Center,14-Apr-2020,
Calhoun County Correctional Center,15--Apr-2020,
Calhoun County Correctional Center,16-Apr-2020,
Calhoun County Correctional Center,17-Apr-2020,
Calhoun County Correctional Center,20-Apr-2020,
Calhoun County Correctional Center,21-Apr-2020,
Calhoun County Correctional Center,22-Apr-2020,
Calhoun County Correctional Center,23-Apr-2020,
Calhoun County Correctional Center,24-Apr-2020,
Calhoun County Correctional Center,27-Apr-2020,
Calhoun County Correctional Center,28-Apr-2020,
Calhoun County Correctional Center,29-Apr-2020,
Calhoun County Correctional Center,30-Apr-2020,
Calhoun County Correctional Center,1-May-2020,
Calhoun County Correctional Center,2-May-2020,
Calhoun County Correctional Center,3-May-2020,
Calhoun County Correctional Center,4-May-2020,
Calhoun County Correctional Center,5-May-2020,
Calhoun County Correctional Center,6-May-2020,
Calhoun County Correctional Center,7-May-2020,
Calhoun County Correctional Center,8-May-2020,
Caroline Detention Facility,3-Apr-2020,
Caroline Detention Facility,4-Apr-2020,
Caroline Detention Facility,7-Apr-2020,
Caroline Detention Facility,8-Apr-2020,
Caroline Detention Facility,9-Apr-2020,
Caroline Detention Facility,10-Apr-2020,
Caroline Detention Facility,13-Apr-2020,
Caroline Detention Facility,14-Apr-2020,
Caroline Detention Facility,15--Apr-2020,
Caroline Detention Facility,16-Apr-2020,
Caroline Detention Facility,17-Apr-2020,
Caroline Detention Facility,20-Apr-2020,
Caroline Detention Facility,21-Apr-2020,1
Caroline Detention Facility,22-Apr-2020,1
Caroline Detention Facility,23-Apr-2020,2
Caroline Detention Facility,24-Apr-2020,2
Caroline Detention Facility,27-Apr-2020,2
Caroline Detention Facility,28-Apr-2020,2
Caroline Detention Facility,29-Apr-2020,2
Caroline Detention Facility,30-Apr-2020,2
Caroline Detention Facility,1-May-2020,2
Caroline Detention Facility,2-May-2020,2
Caroline Detention Facility,3-May-2020,2
Caroline Detention Facility,4-May-2020,2
Caroline Detention Facility,5-May-2020,2
Caroline Detention Facility,6-May-2020,2
Caroline Detention Facility,7-May-2020,2
Caroline Detention Facility,8-May-2020,3
Carver County Jail Services,3-Apr-2020,
Carver County Jail Services,4-Apr-2020,
Carver County Jail Services,7-Apr-2020,
Carver County Jail Services,8-Apr-2020,
Carver County Jail Services,9-Apr-2020,
Carver County Jail Services,10-Apr-2020,
Carver County Jail Services,13-Apr-2020,
Carver County Jail Services,14-Apr-2020,
Carver County Jail Services,15--Apr-2020,
Carver County Jail Services,16-Apr-2020,
Carver County Jail Services,17-Apr-2020,
Carver County Jail Services,20-Apr-2020,
Carver County Jail Services,21-Apr-2020,
Carver County Jail Services,22-Apr-2020,
Carver County Jail Services,23-Apr-2020,
Carver County Jail Services,24-Apr-2020,
Carver County Jail Services,27-Apr-2020,
Carver County Jail Services,28-Apr-2020,
Carver County Jail Services,29-Apr-2020,
Carver County Jail Services,30-Apr-2020,
Carver County Jail Services,1-May-2020,
Carver County Jail Services,2-May-2020,
Carver County Jail Services,3-May-2020,
Carver County Jail Services,4-May-2020,
Carver County Jail Services,5-May-2020,
Carver County Jail Services,6-May-2020,
Carver County Jail Services,7-May-2020,
Carver County Jail Services,8-May-2020,
Cass County Jail Services,3-Apr-2020,
Cass County Jail Services,4-Apr-2020,
Cass County Jail Services,7-Apr-2020,
Cass County Jail Services,8-Apr-2020,
Cass County Jail Services,9-Apr-2020,
Cass County Jail Services,10-Apr-2020,
Cass County Jail Services,13-Apr-2020,
Cass County Jail Services,14-Apr-2020,
Cass County Jail Services,15--Apr-2020,
Cass County Jail Services,16-Apr-2020,
Cass County Jail Services,17-Apr-2020,
Cass County Jail Services,20-Apr-2020,
Cass County Jail Services,21-Apr-2020,
Cass County Jail Services,22-Apr-2020,
Cass County Jail Services,23-Apr-2020,
Cass County Jail Services,24-Apr-2020,
Cass County Jail Services,27-Apr-2020,
Cass County Jail Services,28-Apr-2020,
Cass County Jail Services,29-Apr-2020,
Cass County Jail Services,30-Apr-2020,
Cass County Jail Services,1-May-2020,
Cass County Jail Services,2-May-2020,
Cass County Jail Services,3-May-2020,
Cass County Jail Services,4-May-2020,
Cass County Jail Services,5-May-2020,
Cass County Jail Services,6-May-2020,
Cass County Jail Services,7-May-2020,
Cass County Jail Services,8-May-2020,
Catahoula Correctional Center,3-Apr-2020,
Catahoula Correctional Center,4-Apr-2020,
Catahoula Correctional Center,7-Apr-2020,
Catahoula Correctional Center,8-Apr-2020,
Catahoula Correctional Center,9-Apr-2020,
Catahoula Correctional Center,10-Apr-2020,
Catahoula Correctional Center,13-Apr-2020,
Catahoula Correctional Center,14-Apr-2020,
Catahoula Correctional Center,15--Apr-2020,
Catahoula Correctional Center,16-Apr-2020,
Catahoula Correctional Center,17-Apr-2020,
Catahoula Correctional Center,20-Apr-2020,1
Catahoula Correctional Center,21-Apr-2020,1
Catahoula Correctional Center,22-Apr-2020,1
Catahoula Correctional Center,23-Apr-2020,1
Catahoula Correctional Center,24-Apr-2020,1
Catahoula Correctional Center,27-Apr-2020,3
Catahoula Correctional Center,28-Apr-2020,7
Catahoula Correctional Center,29-Apr-2020,7
Catahoula Correctional Center,30-Apr-2020,7
Catahoula Correctional Center,1-May-2020,7
Catahoula Correctional Center,2-May-2020,7
Catahoula Correctional Center,3-May-2020,7
Catahoula Correctional Center,4-May-2020,9
Catahoula Correctional Center,5-May-2020,9
Catahoula Correctional Center,6-May-2020,9
Catahoula Correctional Center,7-May-2020,15
Catahoula Correctional Center,8-May-2020,15
Central Arizona Correctional Center,3-Apr-2020,
Central Arizona Correctional Center,4-Apr-2020,
Central Arizona Correctional Center,7-Apr-2020,
Central Arizona Correctional Center,8-Apr-2020,
Central Arizona Correctional Center,9-Apr-2020,
Central Arizona Correctional Center,10-Apr-2020,
Central Arizona Correctional Center,13-Apr-2020,
Central Arizona Correctional Center,14-Apr-2020,
Central Arizona Correctional Center,15--Apr-2020,
Central Arizona Correctional Center,16-Apr-2020,
Central Arizona Correctional Center,17-Apr-2020,
Central Arizona Correctional Center,20-Apr-2020,
